 month caisson hours
517 2008-06-01 3 39273
518 2008-07-01 3 23778
519 2008-08-01 3 39821
520 2008-09-01 3 40186
521 2008-10-01 3 40476
522 2008-11-01 3 32633
523 2008-12-01 3 49374
524 2009-01-01 3 33154
525 2009-02-01 3 33422
526 2009-03-01 3 33739
527 2009-04-01 3 42468
528 2009-05-01 3 34236
529 2009-06-01 3 43125
530 2009-07-01 3 43418
531 2009-08-01 3 43767
532 2009-09-01 3 35262
533 2009-10-01 3 44345
534 2009-11-01 3 44676
535 2009-12-01 3 36020
536 2010-01-01 3 18131
537 2010-02-01 3 36484
538 2010-03-01 3 45917
539 2010-04-01 3 36976
540 2010-05-01 3 46507
541 2010-06-01 3 46776
542 2010-07-01 3 47041
543 2010-08-01 3 47349
544 2010-09-01 3 47649
545 2010-10-01 3 47996
546 2010-11-01 3 48419
547 2010-12-01 3 39256
548 2011-01-01 3 50349
549 2011-02-01 3 51481
550 2011-03-01 3 41859
551 2011-04-01 3 42353
552 2011-05-01 3 53649
553 2011-06-01 3 54215
554 2011-07-01 3 43907
555 2011-08-01 3 55435
556 2011-09-01 3 55949
557 2011-10-01 3 56618
558 2011-11-01 3 45811
559 2011-12-01 3 57932
560 2012-01-01 3 58927
561 2012-02-01 3 71455
562 2012-03-01 3 48316
563 2012-04-01 3 60946
564 2012-05-01 3 49113
565 2012-06-01 3 49477
566 2012-07-01 3 62349
567 2012-08-01 3 62845
568 2012-09-01 3 50732
569 2012-10-01 3 63979
570 2012-11-01 3 77272
571 2012-12-01 3 64945
572 2013-01-01 3 65453
573 2013-02-01 3 52873
574 2013-03-01 3 53253
575 2013-04-01 3 67040
576 2013-05-01 3 67462
577 2013-06-01 3 54359
578 2013-07-01 3 68446
579 2013-08-01 3 68873
580 2013-09-01 3 69404
581 2013-10-01 3 69920
582 2013-11-01 3 70457
583 2013-12-01 3 56810
584 2014-01-01 3 71577
585 2014-02-01 3 57865
586 2014-03-01 3 73241
587 2014-04-01 3 73786
588 2014-05-01 3 59451
589 2014-06-01 3 74831
590 2014-07-01 3 75258
591 2014-08-01 3 60575
592 2014-09-01 3 76222
593 2014-10-01 3 76702
594 2014-11-01 3 61771
595 2014-12-01 3 77731
596 2015-01-01 3 62628
597 2015-02-01 3 78772
598 2015-03-01 3 79348
599 2015-04-01 3 79867
600 2015-05-01 3 64392
601 1998-10-01 4 62252
602 1998-11-01 4 78380
603 1998-12-01 4 63234
604 1999-01-01 4 63506
605 1999-02-01 4 63794
606 1999-03-01 4 80135
607 1999-04-01 4 64387
608 1999-05-01 4 64621
609 1999-06-01 4 81105
610 1999-07-01 4 65097
611 1999-08-01 4 81671
612 1999-09-01 4 65612
613 1999-10-01 4 65905
614 1999-11-01 4 66250
615 1999-12-01 4 83302
616 2000-01-01 4 66951
617 2000-02-01 4 84094
618 2000-03-01 4 67588
619 2000-04-01 4 67868
620 2000-05-01 4 85205
621 2000-06-01 4 68431
622 2000-07-01 4 68660
623 2000-08-01 4 86146
624 2000-09-01 4 69157
625 2000-10-01 4 69409
626 2000-11-01 4 87130
627 2000-12-01 4 70000
628 2001-01-01 4 87803
629 2001-02-01 4 70472
630 2001-03-01 4 70639
631 2001-04-01 4 70838
632 2001-05-01 4 88823
633 2001-06-01 4 71246
634 2001-07-01 4 71448
635 2001-08-01 4 71608
636 2001-09-01 4 71779
637 2001-10-01 4 90005
638 2001-11-01 4 72241
639 2001-12-01 4 54326
640 2002-01-01 4 18146
641 2002-02-01 4 72837
642 2002-03-01 4 72998
643 2002-04-01 4 91470
644 2002-05-01 4 73361
645 2002-06-01 4 73534
646 2002-07-01 4 73714
647 2002-08-01 4 73895
648 2002-09-01 4 74067
649 2002-10-01 4 79214
650 2002-11-01 4 47655
651 2002-12-01 4 79649
652 2003-01-01 4 63856
653 2003-02-01 4 63978
654 2003-03-01 4 80150
655 2003-04-01 4 64260
656 2003-05-01 4 64401
657 2003-06-01 4 64525
658 2003-07-01 4 80833
659 2003-08-01 4 64802
660 2003-09-01 4 81155
661 2003-10-01 4 65058
662 2003-11-01 4 65181
663 2003-12-01 4 81611
664 2004-01-01 4 65418
665 2004-02-01 4 65541
666 2004-03-01 4 82106
667 2004-04-01 4 65834
668 2004-05-01 4 82466
669 2004-06-01 4 49574
670 2004-07-01 4 66228
671 2004-08-01 4 82961
672 2004-09-01 4 66474
673 2004-10-01 4 66629
674 2004-11-01 4 83470
675 2004-12-01 4 66889
676 2005-01-01 4 83818
677 2005-02-01 4 67192
678 2005-03-01 4 67313
679 2005-04-01 4 84269
680 2005-05-01 4 67607
681 2005-06-01 4 84731
682 2005-07-01 4 67913
683 2005-08-01 4 85057
684 2005-09-01 4 85211
685 2005-10-01 4 85387
686 2005-11-01 4 85529
687 2005-12-01 4 68533
688 2006-01-01 4 85840
689 2006-02-01 4 68800
690 2006-03-01 4 86133
691 2006-04-01 4 69243
692 2006-05-01 4 87116
693 2006-06-01 4 104873
694 2006-07-01 4 70081
695 2006-08-01 4 70186
696 2006-09-01 4 87860
697 2006-10-01 4 88027
698 2006-11-01 4 88164
699 2006-12-01 4 88345
700 2007-01-01 4 88687
701 2007-02-01 4 88864
702 2007-03-01 4 106849
703 2007-04-01 4 71349
704 2007-05-01 4 89355
705 2007-06-01 4 89473
706 2007-07-01 4 71691
707 2007-08-01 4 89724
708 2007-09-01 4 71888
709 2007-10-01 4 89998
710 2007-11-01 4 108156
711 2007-12-01 4 72197
712 2008-01-01 4 90395
713 2008-02-01 4 108629
714 2008-03-01 4 108765
715 2008-04-01 4 72596
716 2008-05-01 4 90835
717 2008-06-01 4 90961
718 2008-07-01 4 54654
719 2008-08-01 4 91170
720 2008-09-01 4 91295
721 2008-10-01 4 91403
722 2008-11-01 4 73211
723 2008-12-01 4 109967
724 2009-01-01 4 73394
725 2009-02-01 4 73468
726 2009-03-01 4 73555
727 2009-04-01 4 92025
728 2009-05-01 4 73695
729 2009-06-01 4 92215
730 2009-07-01 4 92303
731 2009-08-01 4 92405
732 2009-09-01 4 74000
733 2009-10-01 4 92572
734 2009-11-01 4 92667
735 2009-12-01 4 74200
736 2010-01-01 4 37131
737 2010-02-01 4 74321
738 2010-03-01 4 92981
739 2010-04-01 4 74448
740 2010-05-01 4 93137
741 2010-06-01 4 93207
742 2010-07-01 4 93277
743 2010-08-01 4 93364
744 2010-09-01 4 93427
745 2010-10-01 4 93509
746 2010-11-01 4 93600
747 2010-12-01 4 74970
748 2011-01-01 4 93956
749 2011-02-01 4 94138
750 2011-03-01 4 75403
751 2011-04-01 4 75500
752 2011-05-01 4 94478
753 2011-06-01 4 94595
754 2011-07-01 4 75783
755 2011-08-01 4 94826
756 2011-09-01 4 94958
757 2011-10-01 4 95097
758 2011-11-01 4 76192
759 2011-12-01 4 95343
760 2012-01-01 4 95490
761 2012-02-01 4 114754
762 2012-03-01 4 76626
763 2012-04-01 4 95912
764 2012-05-01 4 76830
765 2012-06-01 4 76938
766 2012-07-01 4 96307
767 2012-08-01 4 96433
768 2012-09-01 4 77257
769 2012-10-01 4 96733
770 2012-11-01 4 116251
771 2012-12-01 4 97039
772 2013-01-01 4 97169
773 2013-02-01 4 77849
774 2013-03-01 4 77981
775 2013-04-01 4 97606
776 2013-05-01 4 97716
777 2013-06-01 4 78267
778 2013-07-01 4 97962
779 2013-08-01 4 98081
780 2013-09-01 4 98223
781 2013-10-01 4 98339
782 2013-11-01 4 98452
783 2013-12-01 4 78862
784 2014-01-01 4 98711
785 2014-02-01 4 79193
786 2014-03-01 4 99201
787 2014-04-01 4 99308
788 2014-05-01 4 79544
789 2014-06-01 4 99553
790 2014-07-01 4 99793
791 2014-08-01 4 79995
792 2014-09-01 4 100112
793 2014-10-01 4 100222
794 2014-11-01 4 80272
795 2014-12-01 4 100469
796 2015-01-01 4 80491
797 2015-02-01 4 100702
798 2015-03-01 4 100815
799 2015-04-01 4 100907
800 2015-05-01 4 80808
801 1998-10-01 5 139725
802 1998-11-01 5 176164
803 1998-12-01 5 142091
804 1999-01-01 5 143436
805 1999-02-01 5 145289
806 1999-03-01 5 183718
807 1999-04-01 5 147954
808 1999-05-01 5 148658
809 1999-06-01 5 187538
